NodePubkey,Commission,ActivatedStake
2owZqEAQvSWxKixL1MPtQ5Xivr8hkQBuURvEvJBv9wmU,5,243746795040660
2RwFJJkhr4tCTuQnZN1CFpAtn5s9pTzakagvu326W1FT,0,243613822708782
spcti6GQVvinbtHU9UAkbXhjTcBJaba1NVx4tmK4M5F,0,243359268365324
9pBHfuE19q7PRbupJf8CZAMwv6RHjasdyMN9U9du7Nx2,0,242772753492155
CQYub9hafWbzwjYyr8hBVkKqD2LxDoDD9HhDzuNNc95n,0,242476356852647
J3jZnDWMNHiQVuVDRM1PhYfFRMWwMEAMark2oiwQMzcu,0,240704970035755
4SKy65C9373k9WZnq2ViR7nq8eCu32TkLhoXq45MYQm6,0,240366727057995
Stakex4B2tpDHPWGvV1dninfiaYCGdakgTknpzPitLh,5,237422067986888
AsMpvJ3DZ2Ydu1WTRMAyMH4QjSLiUG39rKzfzvtE1bWr,0,237140394195220
CBUGET5PnvLc3HvEeFYj64iTvdKhYV6pujTPDdDh785K,0,236469008675761
5FbKKGdEaFcxGxxaLKVvBes2JxiKbreh8w2ZpMcSQ2a5,7,235685051730571
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,0,233974775229082
FyrwfMaomErzqrFUXMjCJ7mA4u81DsiDdrzC3MJD6d4j,0,233450903603270
6dtVKjb6vRwNAekki2FXhKv8WTNzQ3xW6HWMCNWqtoDy,0,233354018370673
CpdzCVzaR9gjFymmEVE8xHboJFHaDnimRZ448cMBs6Rn,0,232622628720413
LodeuWMHPiPj2PUHUyca2bkpFv9HyzR3gaDBmGJ9TSS,1,232074383164756
vahMVcSS3v6uwyFormV7FDAUbQSHwmy6vUedp1P7L42,0,231125992325324
EUcJwf7jXskRE6NZBtFPVH2EedNvNYko8LL2WT62XctB,100,230007984083351
D8izqaR979Fc2amDoGHmYqEugjckEi1RQL1Y1JKyHUwX,0,228710475737044
5marvipGzf98hxnoJFXsZbGHSXcEQ3yRGJ4ps7D3V4ou,0,227992604537817
6PvHaibtZhuba14dzbhGFJRASYX3Ka2oviRzSbXV2wYC,0,227659716335367
SLNDCSGTEsA6KHpgR32MBt9UAurZnVSJGUtW2tRpdU2,5,227631433200702
Cu9Ls6dsTL6cxFHZdStHwVSh1uy2ynXz8qPJMS5FRq86,0,227273723871715
BeSovDCzhEAfgwDyXBuhmCFKsu5WQ3PaX61GEfteNzXM,0,225006566582911
HH5dA42XF1HxNk1TRpG6LuKfLViMYNdAz5iWrFM4hWFi,10,222979494294227
EQhTjikb1L2jvxsCaSW2o2TuRXh4Do6HzBEWCxpeM44W,0,222500893589130
8Q7K2irCbYfEG5ZWyBceiytbL1u977gXqw7UaHZ55Awo,0,222440629098955
CZLU7uNs1SNvmV1vodR29hwJFjQ2eVUXsQJwGt2SKVKk,0,222331538807203
2Rv9npqdWE1mLPsT1r2obn3xtKmA5afkxt8GsWeLnKoc,5,221745674893573
72i2Cdw5aa1S11uDvhfZVGGtAW8FbyxaBRN58hQqaSMn,5,221109028474704
7gPpBfH6syWAvgy5n7DZYar41ZTHDgSx4iFM8fWcVxfV,100,221090988302720
2dfgsiSaZ51QYPsECMYMG247PXxyKdwkV9wTHoQb8YEC,5,220680609893316
WENqavduvNNv1LbwCJPRDr4ZmrdvdfF2SZNrKTAV7pm,0,219800745591543
FphFJA451qptiGyCeCN3xvrDi8cApGAnyR5vw2KxxQ1q,0,219428627990901
Tri1F8B6YtjkBztGCwBNSLEZib1EAqMUEUM7dTT7ZG3,0,218765124248625
qZMH9GWnnBkx7aM1h98iKSv2Lz5N78nwNSocAxDQrbP,0,217995397507371
AEAJtnjjB19XFreJH21UP8rfd12f9kxMmngwZG3tGXbP,100,217338801686370
CbVp3Sb3iKYGS8iQT3pQskAo2bqAQRuFBdeFCTfCAN4Y,0,217178056873256
74NLx5y1Fo1kXXs9ATMPM1beCqRVw4d4zU2htktWQoCi,0,217160749867208
8ZvC5d39VKnz4UUJV928s76Mv7FdSbX5WwHCuCFAanj3,0,216663956210304
RoYFUUD7QD9aQ34UCMcwfye8dC5YvJeXz2J3mmoy5S4,5,216169607791625
simpRo1FrQYGa1moicfgnPDp6KyE38d4gYrZzhjXYJb,5,215795598857806
2gDeeRa3mwPPtw1CMWPkEhRWo9v5izNBBfEXanr8uibX,0,214715612348383
8MZFWowte8pHb6zJXxUdogUfdWRbqu7fGvaWRXtkDP7X,0,213436830541124
BHG4L6p8fmz3nEKzq7Q4wRhW9q9YtzN1vEjMZCLX3ewm,5,212121768358193
c3rtoMCHSbFrLRTAdw4iRowKSn4BrDtvSPbuyJwkHwx,0,211762004109502
R1parD2CtxPBGPABB2m3JjuLpGgNLiJuLxyt7qvAJR3,5,211618321037489
2GwaeV7SiuJMyUxaRLMcSRHo6ZEf8oVXvDmCYDQJ4Goz,0,211167025475138
71M936kzQRe7eWrABba6yKqPsmTMVhijQqDNQP9qM9pP,0,210802497323486
SDEVqCDyc3YzjrDn375SMWKpZo1m7tbZ12fsenF48x1,0,210588749668735
8bDP7mZsx6Z1pZbRoMtzj5AXaqoyBLqEfgAi157AnKJX,0,209355584226489
HUcasdKeLaC1GMYVKpQrSuJSJUAaZxyVe8zY1NoAb7xg,10,206398000548069
Bnqie7FYWudbSuBjyRHzoKQrz7eGFxmY9wFAMQKKQjEe,0,205337658867673
9Yr5Wnba6Tm9Hb4gBKZKTgy4qwFaxGCTW8AHMcQtaT7X,0,203726411137240
2EiEMRvsBS43gbDCi5yb9GfRBghae41UFAbBt2iSvNYB,0,202719000004909
43Am3PKFeo9cACpqYL5Sk95rpVdxLw3Mc22PqRqZXEW2,0,202030154834222
Arvv3uwEyDPKckw3wEFiCq9hgxMw8kawFU6doxFAWGYR,0,200992048113365
8n4pc4sCJtBeLfJdGyJn6EcZuhtfTiepRa9ExdJFdmEN,0,197690698206213
BPKAfGkkzF5u1QRjjB1nWYYbPMUCMPJe1xZPmwEMNMCT,0,197526833436483
9gFxqsXbFyrKXUkqpAatonn47uYZ7sEZSnMxhzQoXrUJ,0,196725211063522
8yjHdsCgx3bp2zEwGiWSMgwpFaCSzfYAHT1vk7KJBqhN,0,195626516577964
9bxGPEvFjGHqpAHMkm97R5d8euFnpJ3ws83tMkTbcBUJ,0,194473048534322
nymsHergYedT9CJMgtGMvqXUTGcbs5o3MiWTJUbqTGY,0,193950602320290
cZCvgqgrdX2LCScVku8CprMnAUZtSicBDJ8eiowfonn,5,192882991470286
7tegjkVvZmYSpGJQVpiRqKuehxtiAEEXyWk1NEbXriGC,100,192110421825041
Ey3DkEVbfBxfWmkTsG7Hqj7jshYf5Zx9H8462Zjjkykf,0,191420508053190
DtY5Bzxd75iWQRvKwM2xLUxqwLT1RRoeNwmVvgS2JANA,0,189246823728997
3DaPk6TdeGnEBwTR8fEyZSLkdayk6vZXrqGZhAgYK8BV,0,188005178995289
3XR3msrDf4fJj5kxgYAMoZDYMNvgdnXdKfbC7AN6422Q,0,187755279190528
4ZUdaCPz4t1gJK6bFN2YdG6BDfxZ3ApvGMiQUmKPPtny,0,186691007929694
93Q99nhdKjuSe6WNXgMBbC3s8QVQEAoHKt91PNRkUkMn,0,185788027936604
4o2TxN5RNxjiLvEbK56ZyaZ1bg3ZTgaTLpPRqi8vEkRS,0,185654276921278
8mhdbYU3PxALpTfDrdTYvk5obaGxL8ATQMvCLXW9SV2L,0,185600943529960
7SemrpW1SnhndK2ceWaRQKeAbTY7LdBaA1ctUmFg6jmE,0,184921274250017
8fp2i8jhVcspsXUcHMQAnfQknT9nmuxFASdv6kV2FkwU,0,183282141230142
5cQ27F39MuLu3ZHSyuTBxu9xaarnxezAAiLuyf1FCL2W,0,181378412284049
MNDEE2sgqVKYUTKTpGTqJhdQfXz6CHW9JPWNhcBkSj6,0,181197522915156
GiYSnFRrXrmkJMC54A1j3K4xT6ZMfx1NSThEe5X2WpDe,5,180971819906526
9FXD1NXrK6xFU8i4gLAgjj2iMEWTqJhSuQN8tQuDfm2e,0,180950501108136
F5NgZ5RtJW6fcDTcsYjSo8DgksbWx3mh4Ms2igbhHQTC,0,180417618250444
3tzpLMWRkWucvTRWU5PjgKzN1iwJuV69yCCjmuuo4gTk,5,179619071562077
BJvrWSfonXnS2Km8iA9KLY6D6vS3GcsaUwUNPFBumTca,0,179359718180724
61QB1Evn9E3noQtpJm4auFYyHSXS5FPgqKtPgwJJfEQk,0,179349405096589
E5zpFqkvA3kMjCAgiGVmDkq2HmnZq4TZJbJ4AdJwhdC8,0,179024824315030
2E2JPuFhjkQvEJEeNGqVSwGLJa5GoFqabQTutGjg1bzw,0,178793529350602
3C2cXXVHCm2w2EWnHUNxhtZCB2EMv2AeJ4TpW5ws18fi,7,178620560875548
55Bp7VEw2WgTRNpK1diKKo9y29edeUm4kmzUaLUJn6t5,0,178564033470658
GzdpwmsqTaEK2yk2s1xdmzXEfH3P1UnKjZR7u7nSNXbi,0,178514854392012
2nZFRYFgX8A2YVCawmbjuL4zSE6LSt5o7ZEHupB5rZBQ,0,178380086027326
LunaowJnt875WWoqDkhHhE93SNYHa6tfFNVn1rqc57c,5,178024902866868
FKiyMb5BzqKpe1Y4Px98vxm3XXHAGHgSkQZ2wZwmzoub,0,177743959798323
CpuDNi3iVoHXbaT8gHpzKe6rqeBasoYjEKi21q7NRVJS,0,177431880449328
CmXajDrDRcDaYCNf2CBZnqXJj1t88gdjbTksWk8VUDLX,0,176736036496920
5p8qKVyKthA9DUb1rwQDzjcmTkaZdwN97J3LiaEywUjd,0,176731506775912
8c9dYBdnCy5446dbf23ZyenuJRSDqATCXN6DXgKGErLw,0,176610264811233
6iTpVEx7Ye6wvvrnXBLf6FPhENrCu8mKGswzhem2pJ1m,0,175948435888988
9e7XGRqQqEvppx4Lkj6P1S7k65yWQpf3vcNzWecKSzDd,0,175632953772370
6j4ruT65Jk282NwLQbZbcwT4cQtrn2mSgqD5DDXtuVCM,0,175260703609744
